x,y,z,yaw,velocity,change_flag
-24.9097,17.935,2.467,-3.0856,3.8473,0
-25.9694,17.9192,2.5254,3.1071,6.0517,0
-26.9965,17.9997,2.4766,3.1103,2.406,0
-28.0149,18.0835,2.6044,3.1006,3.6098,0
-29.0297,18.1297,2.5658,3.0857,3.7914,0
-30.0902,18.1694,2.597,3.079,3.0821,0
-31.1406,18.1707,2.687,3.0913,4.7181,0
-32.1547,18.2128,2.709,3.0936,1.6752,0
-33.2486,18.2867,2.7359,3.103,4.3755,0
-34.26,18.3582,2.8196,3.0955,1.3203,0
-35.2617,18.4314,2.8351,3.09,3.0737,0
-36.2811,18.4632,2.8753,-3.0967,2.2321,0
-37.3626,18.4305,2.8972,-3.1166,4.9961,0
-38.4207,18.4037,2.987,-3.1012,3.0246,0
-38.5946,17.3659,2.8975,-1.6635,2.3489,0
-38.7386,16.3461,2.8143,-1.6741,2.218,0
-38.8783,15.3394,2.6415,-1.679,1.501,0
-38.9672,14.305,2.5845,-1.6706,3.5465,0
-39.0737,13.2792,2.4175,-1.6603,2.7591,0
-39.1514,12.2302,2.3238,-1.6561,2.9844,0
-39.2336,11.1988,2.2557,-1.6474,3.9261,0
-39.2964,10.1752,2.0756,-1.6348,2.3129,0
-39.3999,9.0962,1.968,-1.6348,3.7246,0
-39.4944,8.0369,1.86,-1.6179,3.7345,0
-39.5954,6.922,1.6845,-1.6285,5.7263,0
-39.6543,5.8955,1.599,-1.6344,3.7834,0
-39.6986,4.8627,1.5351,-1.6018,1.8171,0
-39.6661,3.7941,1.3548,-1.4774,2.7891,0
-39.5876,2.7349,1.2597,-1.4848,3.1995,0
-39.4261,1.7074,1.1262,-1.4895,3.3311,0
-39.2925,0.6943,0.9953,-1.3234,2.2109,0
-38.4326,0.1728,0.8858,-0.4788,2.4176,0
-37.4481,-0.0343,0.8005,-0.0988,2.5416,0
-36.4167,-0.1708,0.7885,-0.087,4.0512,0
-35.3835,-0.3151,0.7209,-0.0755,3.2789,0
-34.388,-0.532,0.6907,-0.0152,3.5668,0
-33.3849,-0.4384,0.6219,0.0208,3.9331,0
-32.3768,-0.4198,0.6122,0.0172,3.7941,0
-31.363,-0.4052,0.6127,0.0095,3.5483,0
-30.3499,-0.3989,0.5805,0.0053,5.7921,0
-29.3442,-0.4336,0.6017,-0.0052,1.1299,0
-28.2954,-0.4783,0.5108,-0.0073,4.5809,0
-27.2776,-0.5289,0.4958,-0.0228,3.0643,0
-26.2731,-0.5653,0.5224,-0.0255,2.7331,0
-25.2623,-0.5968,0.4469,-0.0273,2.2819,0
-24.237,-0.6604,0.4559,-0.0237,2.5735,0
-23.1585,-0.5499,0.4262,0.1257,3.261,0
-22.057,-0.4269,0.3295,0.1099,5.5678,0
-21.0054,-0.3193,0.3007,0.0889,5.2569,0
-19.9912,-0.2079,0.3345,0.0738,2.4505,0
-18.9183,-0.1701,0.2969,0.0624,7.4161,0
-17.8619,-0.0834,0.3827,0.0674,4.1391,0
-16.8336,-0.0499,0.3283,0.0485,3.2934,0
-15.7876,-0.0145,0.2666,-0.0028,3.1798,0
-14.7242,-0.0805,0.2493,0.0068,5.5287,0
-13.6489,-0.047,0.197,-0.0023,4.6228,0
-12.4603,-0.054,0.2318,-0.0075,6.8617,0
-11.4057,-0.086,0.1092,-0.0138,7.2854,0
-10.3412,-0.1404,0.1857,-0.0118,6.0422,0
-9.3159,-0.1669,0.1044,-0.0143,2.0016,0
-8.2396,-0.2576,0.1312,-0.013,4.9765,0
-7.2163,-0.2988,0.0851,-0.0119,2.1789,0
-6.1743,-0.3217,0.0686,-0.0307,2.8392,0
-5.1744,-0.4063,0.1176,-0.0339,2.4866,0
-4.1127,-0.4543,0.0994,-0.0317,3.4808,0
-3.0385,-0.4779,0.0498,-0.042,3.6163,0
-2.0271,-0.5513,0.0105,-0.0547,2.9128,0
-1.0151,-0.6404,0.0763,-0.0661,4.0198,0
0,0,0.02,-0.0634,2.5347,0
